x,y,z
0.0,0.0,0.0
-0.023066997528076172,-0.047326087951660156,-0.0010132789611816406
-0.049114227294921875,-0.09942054748535156,-0.0014007091522216797
-0.06952881813049316,-0.1436471939086914,-0.008553266525268555
-0.08258223533630371,-0.1958608627319336,-0.015661120414733887
-0.11998414993286133,-0.27489662170410156,-0.03618001937866211
-0.13703107833862305,-0.3191232681274414,-0.04750490188598633
-0.1602470874786377,-0.3637075424194336,-0.06118416786193848
-0.1818239688873291,-0.39756298065185547,-0.06714463233947754
-0.2041459083557129,-0.4253387451171875,-0.07934868335723877
-0.22602081298828125,-0.45859813690185547,-0.08746981620788574
-0.24086236953735352,-0.5028247833251953,-0.10041892528533936
-0.26410818099975586,-0.5280971527099609,-0.11308491230010986
-0.31703710556030273,-0.5930662155151367,-0.15661120414733887
-0.3381073474884033,-0.6351470947265625,-0.18258392810821533
-0.3504157066345215,-0.6843805313110352,-0.2069026231765747
-0.36785006523132324,-0.7301568984985352,-0.23725628852844238
-0.38048624992370605,-0.7734298706054688,-0.258028507232666
-0.417858362197876,-0.8002519607543945,-0.2871304750442505
-0.4833340644836426,-0.8507966995239258,-0.33524632453918457
-0.506371259689331,-0.8727312088012695,-0.36025047302246094
-0.5295872688293457,-0.9014606475830078,-0.37920475006103516
-0.550389289855957,-0.9284019470214844,-0.3989189863204956
-0.5728304386138916,-0.9503364562988281,-0.4191398620605469
-0.5893111228942871,-0.9795427322387695,-0.4392266273498535
-0.6109774112701416,-1.0017156600952148,-0.46315789222717285
-0.6511211395263672,-1.0508298873901367,-0.5061030387878418
-0.6678402423858643,-1.0826587677001953,-0.5203187465667725
-0.6840527057647705,-1.1069774627685547,-0.5428493022918701
-0.6917119026184082,-1.1484622955322266,-0.5544424057006836
-0.7041394710540771,-1.1744499206542969,-0.5642473697662354
-0.6988048553466797,-1.2236833572387695,-0.5798935890197754
-0.7031559944152832,-1.2499094009399414,-0.5818009376525879
-0.7129013538360596,-1.282811164855957,-0.584721565246582
-0.7141828536987305,-1.3034343719482422,-0.591278076171875
-0.7094442844390869,-1.3310909271240234,-0.5889832973480225
-0.708460807800293,-1.3796091079711914,-0.5861818790435791
-0.7032155990600586,-1.4113187789916992,-0.5820393562316895
-0.6926953792572021,-1.4429092407226562,-0.5830824375152588
-0.6791353225708008,-1.482248306274414,-0.5853772163391113
-0.6547272205352783,-1.5215873718261719,-0.5906522274017334
-0.6465017795562744,-1.546621322631836,-0.5921721458435059
-0.632256269454956,-1.579880714416504,-0.5945861339569092
-0.6201565265655518,-1.6089677810668945,-0.5983710289001465
-0.610053539276123,-1.6258955001831055,-0.6034970283508301
-0.5681514739990234,-1.6727447509765625,-0.6077885627746582
-0.5532503128051758,-1.6863346099853516,-0.6119012832641602
-0.5266368389129639,-1.7118453979492188,-0.6199479103088379
-0.517040491104126,-1.7205476760864258,-0.6237328052520752
-0.4963874816894531,-1.7281770706176758,-0.628352165222168
-0.4553496837615967,-1.7311573028564453,-0.6251037120819092
-0.4304051399230957,-1.7426013946533203,-0.626683235168457
-0.4095137119293213,-1.7316341400146484,-0.6307661533355713
-0.36528706550598145,-1.743912696838379,-0.6377995014190674
-0.306546688079834,-1.7521381378173828,-0.6594955921173096
-0.26035308837890625,-1.7766952514648438,-0.6828904151916504
-0.23353099822998047,-1.7849206924438477,-0.7026493549346924
-0.14734268188476562,-1.8117427825927734,-0.7384419441223145
-0.11721253395080566,-1.8000602722167969,-0.7630288600921631
-0.0845491886138916,-1.7985105514526367,-0.7842779159545898
-0.04363059997558594,-1.7943382263183594,-0.8080005645751953
-0.004708766937255859,-1.7925500869750977,-0.8394122123718262
0.042051076889038086,-1.7899274826049805,-0.8789002895355225
0.08672475814819336,-1.794576644897461,-0.9283721446990967
0.17574429512023926,-1.785874366760254,-1.0207295417785645
0.2245008945465088,-1.7886161804199219,-1.0841786861419678
0.2245008945465088,-1.7886161804199219,-1.0841786861419678
0.3268718719482422,-1.7971992492675781,-1.2070238590240479
0.3909468650817871,-1.813054084777832,-1.277834177017212
0.45874714851379395,-1.8317699432373047,-1.3584494590759277
0.5262196063995361,-1.8471479415893555,-1.4376044273376465
0.6507933139801025,-1.8763542175292969,-1.5934407711029053
0.698089599609375,-1.8706321716308594,-1.663804054260254
0.7458925247192383,-1.8591880798339844,-1.7426609992980957
0.7280409336090088,-1.8268823623657227,-1.8204748630523682
0.7567703723907471,-1.7997026443481445,-1.9048750400543213
0.802844762802124,-1.7720460891723633,-1.986861228942871
0.8447766304016113,-1.7319917678833008,-2.0768940448760986
0.8946061134338379,-1.7018318176269531,-2.1616220474243164
0.9586811065673828,-1.6700029373168945,-2.2557973861694336
1.008838415145874,-1.6398429870605469,-2.3530125617980957
1.0850131511688232,-1.6093254089355469,-2.4632513523101807
1.1234581470489502,-1.5769004821777344,-2.5665462017059326
1.1788606643676758,-1.5534162521362305,-2.6848018169403076
1.2619495391845703,-1.5410184860229492,-2.813667058944702
1.3484060764312744,-1.5397071838378906,-2.956777811050415
1.4245212078094482,-1.5381574630737305,-3.102242946624756
1.58652663230896,-1.5321969985961914,-3.413975238800049
1.6717314720153809,-1.520395278930664,-3.582894802093506
1.7787814140319824,-1.5370845794677734,-3.7775635719299316
1.899123191833496,-1.552581787109375,-3.9811134338378906
1.9939243793487549,-1.5461444854736328,-4.178851842880249
2.084970474243164,-1.5376806259155273,-4.398107528686523
2.251237630844116,-1.5550851821899414,-4.818558692932129
2.3347437381744385,-1.5674829483032227,-5.039572715759277
2.398878335952759,-1.6028881072998047,-5.270570516586304
2.4733245372772217,-1.6216039657592773,-5.494445562362671
2.5197267532348633,-1.6205310821533203,-5.722254514694214
2.59515643119812,-1.6450881958007812,-5.961328744888306
2.6738643646240234,-1.6756057739257812,-6.1972737312316895
2.754390239715576,-1.7143487930297852,-6.442070007324219
2.8411448001861572,-1.7753839492797852,-6.6848695278167725
3.0198395252227783,-1.9174814224243164,-7.156491279602051
3.0198395252227783,-1.9174814224243164,-7.156491279602051
3.235548734664917,-2.1086931228637695,-7.6239705085754395
3.4115612506866455,-2.207040786743164,-7.849603891372681
3.532499074935913,-2.3137331008911133,-8.058637380599976
3.6339759826660156,-2.417922019958496,-8.272290229797363
3.767639398574829,-2.5418996810913086,-8.48621129989624
3.9054453372955322,-2.6787519454956055,-8.69324803352356
4.19461727142334,-2.959012985229492,-9.154349565505981
4.358053207397461,-3.1217336654663086,-9.376049041748047
4.548609256744385,-3.285050392150879,-9.621411561965942
4.697918891906738,-3.41033935546875,-9.865015745162964
4.848271608352661,-3.530263900756836,-10.111957788467407
4.962831735610962,-3.6345720291137695,-10.351032018661499
5.269080400466919,-3.8667917251586914,-10.871648788452148
5.3871870040893555,-3.9545297622680664,-11.136561632156372
5.51992654800415,-4.047513008117676,-11.416643857955933
5.656689405441284,-4.135608673095703,-11.719465255737305
5.752325057983398,-4.195451736450195,-12.036621570587158
5.840331315994263,-4.243254661560059,-12.356102466583252
5.922287702560425,-4.284262657165527,-12.706220149993896
6.017059087753296,-4.296779632568359,-13.045340776443481
6.072968244552612,-4.313468933105469,-13.386040925979614
6.165444850921631,-4.375815391540527,-14.114320278167725
6.183743476867676,-4.40526008605957,-14.467447996139526
6.200075149536133,-4.421591758728027,-14.827996492385864
6.232351064682007,-4.45711612701416,-15.195637941360474
6.24316930770874,-4.468321800231934,-15.565574169158936
6.248593330383301,-4.480957984924316,-15.955477952957153
6.26295804977417,-4.558801651000977,-16.70074462890625
6.27550482749939,-4.59134578704834,-17.085611820220947
6.269782781600952,-4.6215057373046875,-17.47119426727295
6.286948919296265,-4.662036895751953,-17.853140830993652
6.305277347564697,-4.72414493560791,-18.233686685562134
6.269276142120361,-4.797220230102539,-18.624931573867798
6.311386823654175,-4.875540733337402,-19.01543140411377
6.332725286483765,-5.017995834350586,-19.76597309112549
6.366074085235596,-5.12385368347168,-20.146548748016357
6.40907883644104,-5.216002464294434,-20.523279905319214
6.430327892303467,-5.301833152770996,-20.89017629623413
6.458640098571777,-5.387783050537109,-21.278083324432373
6.509244441986084,-5.5588483810424805,-21.999329328536987
6.546288728713989,-5.644440650939941,-22.37078547477722
6.616711616516113,-5.746126174926758,-22.7297842502594
6.707310676574707,-5.878686904907227,-23.0901837348938
6.785452365875244,-5.993008613586426,-23.448169231414795
6.86982274055481,-6.121397018432617,-23.779302835464478
6.9276392459869385,-6.219267845153809,-24.127483367919922
6.956994533538818,-6.320953369140625,-24.46034550666809
6.965219974517822,-6.501555442810059,-25.093257427215576
6.978154182434082,-6.608247756958008,-25.403082370758057
6.987154483795166,-6.704211235046387,-25.681346654891968
7.001549005508423,-6.807208061218262,-25.956273078918457
7.108479738235474,-7.061004638671875,-26.52379870414734
7.155328989028931,-7.174968719482422,-26.791125535964966
7.186561822891235,-7.2814226150512695,-27.05174684524536
7.160276174545288,-7.347464561462402,-27.291208505630493
7.133305072784424,-7.424116134643555,-27.53627300262451
7.136732339859009,-7.495641708374023,-27.769804000854492
7.104247808456421,-7.569789886474609,-27.98333764076233
7.042169570922852,-7.711529731750488,-28.402090072631836
7.013678550720215,-7.8002214431762695,-28.60543131828308
6.9771409034729,-7.878303527832031,-28.787046670913696
6.946146488189697,-7.948398590087891,-28.953880071640015
6.892383098602295,-8.001327514648438,-29.105395078659058
6.851673126220703,-8.063673973083496,-29.24799919128418
6.79585337638855,-8.122920989990234,-29.376506805419922
6.748288869857788,-8.183002471923828,-29.489129781723022
6.6877007484436035,-8.23366641998291,-29.60103750228882
6.625741720199585,-8.284926414489746,-29.702723026275635
6.572097539901733,-8.358001708984375,-29.78736162185669
6.47282600402832,-8.481860160827637,-29.93491291999817
6.42511248588562,-8.550405502319336,-29.988020658493042
6.367385387420654,-8.616805076599121,-30.02232313156128
6.329983472824097,-8.702516555786133,-30.053377151489258
6.299316883087158,-8.783102035522461,-30.064135789871216
6.262779235839844,-8.8653564453125,-30.07224202156067
6.1949193477630615,-9.04226303100586,-30.033618211746216
6.159067153930664,-9.133577346801758,-30.001074075698853
6.135791540145874,-9.233474731445312,-29.96036410331726
6.109774112701416,-9.318947792053223,-29.896795749664307
6.107747554779053,-9.421110153198242,-29.812932014465332
6.1148107051849365,-9.535789489746094,-29.72877025604248
6.141901016235352,-9.732246398925781,-29.515862464904785
6.153583526611328,-9.843707084655762,-29.388427734375
6.176382303237915,-9.941458702087402,-29.23920750617981
6.202816963195801,-10.056257247924805,-29.074758291244507
6.251037120819092,-10.16855239868164,-28.901606798171997
6.377577781677246,-10.355830192565918,-28.526872396469116
6.377577781677246,-10.355830192565918,-28.526872396469116
6.525605916976929,-10.567903518676758,-28.096944093704224
6.63331151008606,-10.667204856872559,-27.859896421432495
6.719768047332764,-10.757207870483398,-27.61504054069519
6.825059652328491,-10.85042953491211,-27.3626446723938
6.930053234100342,-10.944128036499023,-27.10425853729248
7.017046213150024,-11.025190353393555,-26.813775300979614
7.112234830856323,-11.089801788330078,-26.508808135986328
7.204771041870117,-11.170625686645508,-26.22947096824646
7.290124893188477,-11.223912239074707,-25.930315256118774
