x,y,z
0.0,0.0,0.0
-0.11622905731201172,-0.16736984252929688,0.02771615982055664
-0.18709897994995117,-0.22083520889282227,0.03890693187713623
-0.17756223678588867,-0.2237558364868164,0.0270158052444458
-0.10633468627929688,-0.1951456069946289,0.02434849739074707
0.028371810913085938,-0.02676248550415039,-0.007539987564086914
0.1347064971923828,0.04935264587402344,-0.012680888175964355
0.1329183578491211,0.05325675010681152,-0.012055039405822754
0.11968612670898438,0.04443526268005371,-0.006020069122314453
-0.09542703628540039,-0.18775463104248047,-0.023305416107177734
-0.11050701141357422,-0.20587444305419922,-0.054582953453063965
0.013768672943115234,-0.04652142524719238,-0.11529028415679932
0.11736154556274414,0.017344951629638672,-0.13269484043121338
0.11783838272094727,0.0050067901611328125,-0.15413761138916016
0.07337331771850586,-0.03629922866821289,-0.1910775899887085
0.014960765838623047,-0.05984306335449219,-0.24805963039398193
0.004172325134277344,-0.06073713302612305,-0.2687126398086548
-0.006198883056640625,-0.05793571472167969,-0.2948492765426636
-0.012516975402832031,-0.05033612251281738,-0.3186464309692383
-0.022470951080322266,-0.039964914321899414,-0.34256279468536377
-0.032782554626464844,-0.014036893844604492,-0.36522746086120605
-0.04273653030395508,-0.010222196578979492,-0.3922879695892334
-0.07027387619018555,-0.005811452865600586,-0.4689842462539673
-0.07832050323486328,0.005900859832763672,-0.4943162202835083
-0.09894371032714844,-0.00998377799987793,-0.5336850881576538
-0.1214146614074707,-0.0077784061431884766,-0.5834698677062988
-0.14203786849975586,-0.02899765968322754,-0.6329864263534546
-0.1639723777770996,-0.021725893020629883,-0.6837248802185059
-0.1856684684753418,-0.022619962692260742,-0.7309913635253906
-0.21249055862426758,-0.03153085708618164,-0.7861405611038208
-0.23174285888671875,-0.025838613510131836,-0.814586877822876
-0.2536773681640625,-0.007033348083496094,-0.8768588304519653
-0.2588033676147461,0.01245737075805664,-0.9022802114486694
-0.2726316452026367,0.031054019927978516,-0.9418725967407227
-0.28759241104125977,0.0527501106262207,-0.9746253490447998
-0.30863285064697266,0.06210803985595703,-1.0073930025100708
-0.33462047576904297,0.06535649299621582,-1.0578334331512451
-0.36209821701049805,0.062018632888793945,-1.0946393013000488
